,,cycle,cycle,cycle,cycle,cycle,cycle,cycle,cycle,dt_bet,dt_bet,dt_bet,dt_bet,dt_bet,dt_bet,dt_bet,dt_bet
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
asset,zone,,,,,,,,,,,,,,,,
M17,A,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:16.227500,0 days 00:04:15.640599,0 days 00:04:15,0 days 00:10:04,0 days 00:12:43.500000,0 days 00:16:03,0 days 00:26:43
M17,AE1,284.0,205.98239436619718,118.27402619335011,1.0,105.75,207.0,304.5,400.0,284,0 days 00:05:35.950704,0 days 00:02:31.875591,0 days 00:00:25,0 days 00:03:31,0 days 00:05:19.500000,0 days 00:07:18,0 days 00:14:46
M17,AE2,303.0,199.73267326732673,115.60639643121013,1.0,98.0,195.0,298.5,399.0,303,0 days 00:05:45.277227,0 days 00:02:25.346545,0 days 00:00:34,0 days 00:04:06,0 days 00:05:27,0 days 00:07:07,0 days 00:14:19
M17,AW1,195.0,199.13333333333333,113.54799460597178,2.0,104.5,208.0,296.0,400.0,195,0 days 00:04:54.882051,0 days 00:02:33.531021,0 days 00:00:10,0 days 00:02:55.500000,0 days 00:04:38,0 days 00:06:51,0 days 00:13:28
M17,AW2,186.0,195.71505376344086,117.33937607454996,2.0,94.25,197.0,300.75,400.0,186,0 days 00:05:27.741935,0 days 00:02:40.112251,0 days 00:00:34,0 days 00:03:29,0 days 00:05:07,0 days 00:07:22.750000,0 days 00:11:46
M17,B,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:18.120000,0 days 00:03:59.638136,0 days 00:04:16,0 days 00:10:19,0 days 00:13:02.500000,0 days 00:16:10.750000,0 days 00:25:32
M17,BE1,169.0,204.31360946745562,118.77716177328871,1.0,105.0,213.0,309.0,397.0,169,0 days 00:04:44.946745,0 days 00:02:30.696686,0 days 00:00:36,0 days 00:02:58,0 days 00:04:24,0 days 00:06:12,0 days 00:13:13
M17,BE2,177.0,201.0677966101695,118.08580245372522,2.0,97.0,203.0,302.0,400.0,177,0 days 00:04:57.666666,0 days 00:02:37.841104,0 days 00:00:15,0 days 00:02:51,0 days 00:04:34,0 days 00:06:43,0 days 00:11:08
M17,BW1,298.0,198.34228187919464,113.30955019688,1.0,105.25,196.5,292.75,400.0,298,0 days 00:05:55.651006,0 days 00:02:27.115860,0 days 00:00:52,0 days 00:04:09.250000,0 days 00:05:42,0 days 00:07:40,0 days 00:12:25
M17,BW2,176.0,192.28977272727272,113.51033235766711,1.0,100.5,188.0,283.5,400.0,176,0 days 00:05:11.267045,0 days 00:02:26.417298,0 days 00:00:47,0 days 00:03:30,0 days 00:04:55.500000,0 days 00:06:37.750000,0 days 00:12:06
M17,F,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:35:57.357500,0 days 00:07:55.733392,0 days 00:21:24,0 days 00:29:10.500000,0 days 00:35:31,0 days 00:42:33.500000,0 days 00:54:03
M17,I,340.0,200.4029411764706,113.55935899309569,1.0,105.75,200.0,296.25,400.0,340,0 days 00:05:53,0 days 00:02:44.628463,0 days 00:00:35,0 days 00:03:57,0 days 00:05:41,0 days 00:07:40.500000,0 days 00:13:48
M17,O,300.0,198.57,116.28999516978506,2.0,95.75,196.5,301.25,400.0,300,0 days 00:05:50.613333,0 days 00:02:38.038934,0 days 00:00:36,0 days 00:03:56,0 days 00:05:29,0 days 00:07:28.750000,0 days 00:15:21
M18,A,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:30.317500,0 days 00:04:08.531671,0 days 00:05:11,0 days 00:10:09.500000,0 days 00:13:09,0 days 00:16:26,0 days 00:25:25
M18,AE1,281.0,205.02135231316726,116.478659478374,1.0,107.0,208.0,310.0,400.0,281,0 days 00:06:03.071174,0 days 00:02:50.070663,0 days 00:00:11,0 days 00:03:58,0 days 00:05:41,0 days 00:08:06,0 days 00:14:45
M18,AE2,303.0,200.22772277227722,116.2047360732628,1.0,98.0,202.0,298.5,399.0,303,0 days 00:06:04.564356,0 days 00:02:41.251546,0 days 00:00:40,0 days 00:04:06,0 days 00:05:53,0 days 00:07:59,0 days 00:13:20
M18,AW1,192.0,191.0,113.58392888311074,3.0,93.5,185.0,285.25,397.0,192,0 days 00:05:00.442708,0 days 00:02:30.851117,0 days 00:00:25,0 days 00:03:07.750000,0 days 00:04:33.500000,0 days 00:06:44,0 days 00:13:34
M18,AW2,172.0,203.3372093023256,113.8860732122178,3.0,107.75,205.5,304.75,400.0,172,0 days 00:05:13.697674,0 days 00:02:39.090402,0 days 00:00:15,0 days 00:03:14.250000,0 days 00:04:49,0 days 00:07:06.500000,0 days 00:12:29
M18,B,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:44.680000,0 days 00:04:08.005320,0 days 00:04:54,0 days 00:10:52.750000,0 days 00:13:14,0 days 00:16:18,0 days 00:26:28
M18,BE1,172.0,203.47093023255815,112.46750939926889,8.0,105.5,192.0,301.25,398.0,172,0 days 00:05:20.290697,0 days 00:02:38.975143,0 days 00:00:18,0 days 00:03:11.500000,0 days 00:05:18,0 days 00:07:11.250000,0 days 00:12:24
M18,BE2,181.0,197.21546961325967,110.20210213474664,2.0,108.0,199.0,288.0,399.0,181,0 days 00:05:23.419889,0 days 00:02:33.455605,0 days 00:00:02,0 days 00:03:18,0 days 00:05:14,0 days 00:07:00,0 days 00:11:57
M18,BW1,287.0,198.40766550522648,117.62018556745556,1.0,99.5,199.0,300.5,400.0,287,0 days 00:06:03.452961,0 days 00:02:38.882473,0 days 00:00:37,0 days 00:04:04.500000,0 days 00:05:53,0 days 00:07:55.500000,0 days 00:13:13
M18,BW2,179.0,194.35195530726256,118.95010819893069,2.0,85.0,197.0,296.0,400.0,179,0 days 00:05:11.620111,0 days 00:02:43.650768,0 days 00:00:09,0 days 00:02:54,0 days 00:04:49,0 days 00:07:03.500000,0 days 00:11:16
M18,F,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:36:28.112500,0 days 00:07:23.066371,0 days 00:19:38,0 days 00:30:22.750000,0 days 00:36:58,0 days 00:41:44.750000,0 days 00:53:57
M18,I,327.0,199.80428134556576,116.77501143008848,1.0,99.5,195.0,304.0,400.0,327,0 days 00:05:59.529051,0 days 00:02:32.345843,0 days 00:00:15,0 days 00:03:56,0 days 00:05:52,0 days 00:08:00.500000,0 days 00:13:46
M18,O,292.0,202.72260273972603,113.8446902933075,1.0,103.75,204.5,300.25,397.0,292,0 days 00:05:55.068493,0 days 00:02:29.659506,0 days 00:00:18,0 days 00:04:10.250000,0 days 00:05:45.500000,0 days 00:07:35.500000,0 days 00:16:28
M19,A,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:21.807500,0 days 00:03:53.383482,0 days 00:04:16,0 days 00:10:31,0 days 00:13:09.500000,0 days 00:15:49.250000,0 days 00:28:09
M19,AE1,294.0,205.44557823129253,115.80589605277449,2.0,104.25,212.5,306.75,397.0,294,0 days 00:05:56.812925,0 days 00:02:30.413295,0 days 00:00:17,0 days 00:04:00.250000,0 days 00:05:29.500000,0 days 00:07:38.500000,0 days 00:12:32
M19,AE2,306.0,204.27777777777777,115.49939165106822,1.0,104.25,205.5,307.75,400.0,306,0 days 00:06:09.137254,0 days 00:02:38.370267,0 days 00:00:28,0 days 00:04:11,0 days 00:06:01,0 days 00:07:57.500000,0 days 00:13:08
M19,AW1,172.0,187.94767441860466,116.41734083040221,4.0,81.25,186.5,287.5,400.0,172,0 days 00:05:11.947674,0 days 00:02:49.789145,0 days 00:00:13,0 days 00:03:07,0 days 00:04:58.500000,0 days 00:06:55,0 days 00:12:19
M19,AW2,163.0,203.57055214723925,118.7427434729004,1.0,95.5,215.0,303.0,397.0,163,0 days 00:05:01.895705,0 days 00:02:35.845824,0 days 00:00:32,0 days 00:03:08.500000,0 days 00:04:38,0 days 00:06:45,0 days 00:11:52
M19,B,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:24.122500,0 days 00:03:53.831392,0 days 00:03:38,0 days 00:10:38.500000,0 days 00:12:51,0 days 00:15:51.500000,0 days 00:26:46
M19,BE1,153.0,198.33333333333334,112.3384219785536,3.0,105.0,200.0,295.0,399.0,153,0 days 00:05:15.934640,0 days 00:02:22.822058,0 days 00:00:43,0 days 00:03:29,0 days 00:04:56,0 days 00:06:58,0 days 00:11:36
M19,BE2,171.0,196.05263157894737,109.70062272105385,6.0,110.0,193.0,290.0,399.0,171,0 days 00:04:54.836257,0 days 00:02:29.510601,0 days 00:00:15,0 days 00:03:04.500000,0 days 00:04:32,0 days 00:06:30,0 days 00:12:19
M19,BW1,310.0,199.29032258064515,116.5990262212906,1.0,99.25,201.5,300.25,400.0,310,0 days 00:06:03.374193,0 days 00:02:42.717721,0 days 00:00:27,0 days 00:03:57.500000,0 days 00:05:48,0 days 00:07:54.500000,0 days 00:15:09
M19,BW2,185.0,207.45405405405404,115.4693131514645,2.0,117.0,211.0,311.0,399.0,185,0 days 00:05:12.427027,0 days 00:02:33.313107,0 days 00:00:28,0 days 00:03:14,0 days 00:05:19,0 days 00:07:04,0 days 00:11:24
M19,F,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:35:52.610000,0 days 00:07:39.396654,0 days 00:21:27,0 days 00:29:39.750000,0 days 00:35:41.500000,0 days 00:41:17.250000,0 days 00:55:10
M19,I,325.0,203.5046153846154,114.5055560013386,1.0,105.0,202.0,304.0,400.0,325,0 days 00:05:40.815384,0 days 00:02:37.719423,0 days 00:00:17,0 days 00:03:38,0 days 00:05:30,0 days 00:07:11,0 days 00:14:25
M19,O,297.0,201.86868686868686,115.21395899480386,1.0,104.0,203.0,303.0,400.0,297,0 days 00:06:03.323232,0 days 00:02:42.947087,0 days 00:00:15,0 days 00:04:09,0 days 00:05:49,0 days 00:07:51,0 days 00:14:56
M2,A,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:35.952500,0 days 00:04:14.656937,0 days 00:04:27,0 days 00:10:25.750000,0 days 00:13:16,0 days 00:16:46.250000,0 days 00:24:38
M2,AE1,272.0,199.53676470588235,114.60311157256673,2.0,105.25,199.5,301.5,400.0,272,0 days 00:06:13.036764,0 days 00:02:36.039398,0 days 00:01:06,0 days 00:04:15.750000,0 days 00:05:59,0 days 00:08:01.750000,0 days 00:14:28
M2,AE2,291.0,208.27491408934708,116.99160015342176,1.0,110.0,211.0,311.5,400.0,291,0 days 00:06:15.920962,0 days 00:02:38.491914,0 days 00:00:44,0 days 00:04:15.500000,0 days 00:06:07,0 days 00:08:02.500000,0 days 00:14:54
M2,AW1,174.0,196.95977011494253,116.38005108813248,3.0,96.5,182.5,300.75,398.0,174,0 days 00:05:29.620689,0 days 00:02:30.052494,0 days 00:00:38,0 days 00:03:19.750000,0 days 00:05:21.500000,0 days 00:07:25.500000,0 days 00:11:56
M2,AW2,178.0,194.79775280898878,115.84727719432892,1.0,97.5,190.0,299.75,400.0,178,0 days 00:05:26.786516,0 days 00:02:35.030667,0 days 00:00:38,0 days 00:03:29.750000,0 days 00:05:17.500000,0 days 00:07:16.500000,0 days 00:11:23
M2,B,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:31.392500,0 days 00:04:22.899989,0 days 00:03:31,0 days 00:10:25.500000,0 days 00:13:08,0 days 00:16:03.250000,0 days 00:26:56
M2,BE1,159.0,203.54088050314465,115.21343661411632,4.0,100.5,208.0,303.5,398.0,159,0 days 00:05:17.767295,0 days 00:02:34.359771,0 days 00:00:25,0 days 00:03:24,0 days 00:05:05,0 days 00:06:58.500000,0 days 00:11:54
M2,BE2,185.0,199.0972972972973,116.07180706282475,2.0,99.0,206.0,298.0,400.0,185,0 days 00:04:54.518918,0 days 00:02:21.231312,0 days 00:00:24,0 days 00:02:55,0 days 00:04:50,0 days 00:06:46,0 days 00:11:09
M2,BW1,297.0,197.67340067340066,116.10746594510468,1.0,102.0,192.0,301.0,400.0,297,0 days 00:06:01.141414,0 days 00:02:40.755543,0 days 00:00:04,0 days 00:04:01,0 days 00:05:57,0 days 00:07:40,0 days 00:15:00
M2,BW2,176.0,202.2215909090909,114.53584237395596,1.0,109.5,209.5,293.5,400.0,176,0 days 00:05:31.295454,0 days 00:02:46.243825,0 days 00:00:50,0 days 00:03:24.750000,0 days 00:05:20.500000,0 days 00:07:30.250000,0 days 00:12:30
M2,F,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:36:37.145000,0 days 00:07:47.253521,0 days 00:21:26,0 days 00:30:24.250000,0 days 00:36:27,0 days 00:42:55.500000,0 days 00:54:38
M2,I,321.0,200.00623052959503,115.49074621396811,1.0,101.0,201.0,300.0,399.0,321,0 days 00:06:08.710280,0 days 00:02:39.620957,0 days 00:00:08,0 days 00:04:25,0 days 00:06:06,0 days 00:07:58,0 days 00:15:52
M2,O,298.0,199.3221476510067,116.81671554069435,1.0,96.25,194.5,299.75,400.0,298,0 days 00:06:07.664429,0 days 00:02:34.814524,0 days 00:00:34,0 days 00:04:16.250000,0 days 00:05:56,0 days 00:07:49,0 days 00:13:58
M20,A,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:33.450000,0 days 00:03:59.746696,0 days 00:04:15,0 days 00:10:31.500000,0 days 00:13:26.500000,0 days 00:16:22,0 days 00:26:30
M20,AE1,287.0,205.05226480836237,115.88350516500712,1.0,108.5,208.0,306.5,400.0,287,0 days 00:06:03.209059,0 days 00:02:35.526597,0 days 00:00:42,0 days 00:04:14.500000,0 days 00:05:59,0 days 00:07:30,0 days 00:13:31
M20,AE2,291.0,203.27147766323023,116.66816416014541,2.0,103.5,205.0,301.5,400.0,291,0 days 00:05:56.769759,0 days 00:02:49.274268,0 days 00:00:11,0 days 00:04:02.500000,0 days 00:05:39,0 days 00:07:43.500000,0 days 00:14:13
M20,AW1,179.0,196.3072625698324,118.16618702466252,1.0,91.5,192.0,299.0,400.0,179,0 days 00:05:10.659217,0 days 00:02:23.722700,0 days 00:00:33,0 days 00:03:28.500000,0 days 00:05:04,0 days 00:06:36,0 days 00:11:09
M20,AW2,193.0,197.94818652849742,116.88597278850455,4.0,95.0,205.0,304.0,399.0,193,0 days 00:05:19.746113,0 days 00:02:40.399899,0 days 00:00:08,0 days 00:03:01,0 days 00:05:16,0 days 00:07:13,0 days 00:12:35
M20,B,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:17.492500,0 days 00:04:07.183259,0 days 00:04:24,0 days 00:10:12,0 days 00:12:45.500000,0 days 00:16:05,0 days 00:27:51
M20,BE1,158.0,209.58860759493672,111.8340518626176,1.0,119.25,198.5,310.75,400.0,158,0 days 00:05:01.310126,0 days 00:02:26.960669,0 days 00:00:53,0 days 00:02:59.500000,0 days 00:04:59.500000,0 days 00:06:29,0 days 00:12:12
M20,BE2,197.0,197.81725888324874,119.70549365344638,1.0,97.0,196.0,303.0,399.0,197,0 days 00:05:07.020304,0 days 00:02:36.073405,0 days 00:00:16,0 days 00:03:10,0 days 00:04:59,0 days 00:06:59,0 days 00:12:20
M20,BW1,296.0,198.5,115.01881938865188,2.0,98.75,198.5,295.5,400.0,296,0 days 00:05:54.820945,0 days 00:02:41.348296,0 days 00:00:49,0 days 00:03:58,0 days 00:05:41,0 days 00:07:35.250000,0 days 00:17:05
M20,BW2,192.0,205.40625,112.50508569074876,1.0,107.0,213.5,300.0,400.0,192,0 days 00:04:58.520833,0 days 00:02:33.786482,0 days 00:00:23,0 days 00:02:54.750000,0 days 00:04:42,0 days 00:06:44.500000,0 days 00:12:46
M20,F,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:36:05.682500,0 days 00:07:41.952271,0 days 00:19:36,0 days 00:29:49.250000,0 days 00:35:50.500000,0 days 00:42:16,0 days 00:58:30
M20,I,324.0,203.60493827160494,115.37709652605473,1.0,102.75,207.5,302.25,400.0,324,0 days 00:05:43.398148,0 days 00:02:32.435781,0 days 00:00:23,0 days 00:03:49.750000,0 days 00:05:45.500000,0 days 00:07:31.250000,0 days 00:13:34
M20,O,296.0,196.56756756756758,117.18547733023091,1.0,97.75,198.5,297.25,397.0,296,0 days 00:06:13.766891,0 days 00:02:35.811826,0 days 00:00:25,0 days 00:04:27,0 days 00:05:59.500000,0 days 00:08:06.500000,0 days 00:14:05
M21,A,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:07.017500,0 days 00:04:01.455760,0 days 00:04:22,0 days 00:10:08.750000,0 days 00:12:46,0 days 00:15:45.250000,0 days 00:27:06
M21,AE1,283.0,197.53003533568904,115.94126806611565,1.0,93.5,197.0,295.5,400.0,283,0 days 00:05:58.939929,0 days 00:02:34.310936,0 days 00:00:50,0 days 00:04:05,0 days 00:05:53,0 days 00:07:53.500000,0 days 00:12:32
M21,AE2,280.0,196.40714285714284,115.05453881617073,1.0,103.5,190.5,291.25,399.0,280,0 days 00:05:53.514285,0 days 00:02:45.947328,0 days 00:00:17,0 days 00:03:51.250000,0 days 00:05:43.500000,0 days 00:07:47.500000,0 days 00:16:15
M21,AW1,179.0,189.31843575418995,118.90603525478132,1.0,86.0,176.0,298.5,399.0,179,0 days 00:05:43.770949,0 days 00:02:36.822228,0 days 00:00:43,0 days 00:03:47.500000,0 days 00:05:38,0 days 00:07:32.500000,0 days 00:12:52
M21,AW2,178.0,198.97752808988764,113.32633519717459,3.0,98.25,201.0,297.5,400.0,178,0 days 00:04:56.112359,0 days 00:02:41.951652,0 days 00:00:17,0 days 00:02:43,0 days 00:04:45.500000,0 days 00:06:47.250000,0 days 00:11:21
M21,B,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:14.470000,0 days 00:03:54.372824,0 days 00:05:08,0 days 00:10:22,0 days 00:12:48,0 days 00:15:50,0 days 00:24:29
M21,BE1,170.0,211.3294117647059,117.3042257480529,2.0,114.75,216.5,314.75,400.0,170,0 days 00:04:58.705882,0 days 00:02:29.798667,0 days 00:00:25,0 days 00:02:59,0 days 00:05:00,0 days 00:06:51.250000,0 days 00:12:24
M21,BE2,187.0,191.4866310160428,118.20382243190639,1.0,88.5,179.0,297.0,400.0,187,0 days 00:05:05.085561,0 days 00:02:39.318350,0 days 00:00:24,0 days 00:02:57,0 days 00:04:51,0 days 00:06:48,0 days 00:12:02
M21,BW1,302.0,204.22185430463577,114.17062093022584,1.0,104.25,206.5,298.75,399.0,302,0 days 00:05:57.970198,0 days 00:02:36.870777,0 days 00:00:56,0 days 00:03:56.250000,0 days 00:05:54,0 days 00:07:30.500000,0 days 00:14:34
M21,BW2,167.0,197.78443113772454,114.76771300728025,6.0,102.0,199.0,288.5,399.0,167,0 days 00:05:26.664670,0 days 00:02:32.768570,0 days 00:00:56,0 days 00:03:23.500000,0 days 00:05:18,0 days 00:07:31.500000,0 days 00:12:43
M21,F,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:35:29.972500,0 days 00:07:31.454898,0 days 00:20:19,0 days 00:29:06.250000,0 days 00:35:39,0 days 00:41:31.500000,0 days 00:52:57
M21,I,335.0,199.7731343283582,116.11259193822882,1.0,100.5,193.0,303.0,400.0,335,0 days 00:05:40.961194,0 days 00:02:27.204046,0 days 00:00:28,0 days 00:03:50,0 days 00:05:33,0 days 00:07:30,0 days 00:14:46
M21,O,297.0,205.69023569023568,117.08038214861567,1.0,107.0,208.0,310.0,400.0,297,0 days 00:05:54.114478,0 days 00:02:25.016635,0 days 00:00:43,0 days 00:04:09,0 days 00:05:47,0 days 00:07:38,0 days 00:14:47
M22,A,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:25.690000,0 days 00:04:12.475649,0 days 00:04:55,0 days 00:10:11.750000,0 days 00:13:07,0 days 00:16:33,0 days 00:25:48
M22,AE1,284.0,202.36267605633802,115.91378611054542,1.0,105.75,198.0,303.5,400.0,284,0 days 00:05:41.443661,0 days 00:02:30.561963,0 days 00:00:51,0 days 00:03:43.750000,0 days 00:05:27,0 days 00:07:32,0 days 00:11:55
M22,AE2,295.0,200.24067796610169,116.55272247006957,2.0,95.5,195.0,304.5,400.0,295,0 days 00:05:59.047457,0 days 00:02:39.276247,0 days 00:00:44,0 days 00:04:09,0 days 00:05:36,0 days 00:07:48,0 days 00:14:55
M22,AW1,195.0,207.6,113.79794899679122,1.0,107.0,211.0,306.5,400.0,195,0 days 00:05:05.569230,0 days 00:02:28.745853,0 days 00:00:38,0 days 00:02:57.500000,0 days 00:04:59,0 days 00:06:50,0 days 00:11:02
M22,AW2,194.0,196.54123711340208,112.08601827508252,1.0,107.25,194.0,283.75,400.0,194,0 days 00:05:08.252577,0 days 00:02:41.307234,0 days 00:00:18,0 days 00:02:51.750000,0 days 00:05:01,0 days 00:07:13,0 days 00:11:42
M22,B,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:36.400000,0 days 00:03:59.906905,0 days 00:04:56,0 days 00:10:38.750000,0 days 00:13:06.500000,0 days 00:16:07.500000,0 days 00:24:42
M22,BE1,169.0,210.87573964497042,111.5645870628455,7.0,120.0,220.0,302.0,400.0,169,0 days 00:05:13.420118,0 days 00:02:24.196442,0 days 00:00:34,0 days 00:03:24,0 days 00:05:10,0 days 00:06:48,0 days 00:11:12
M22,BE2,178.0,200.92696629213484,111.73723338801571,2.0,108.25,204.5,294.5,400.0,178,0 days 00:05:30.247191,0 days 00:02:38.648122,0 days 00:00:54,0 days 00:03:15.250000,0 days 00:05:21.500000,0 days 00:07:30,0 days 00:11:39
M22,BW1,306.0,200.140522875817,117.00198901933163,1.0,97.25,201.5,301.75,398.0,306,0 days 00:05:55.424836,0 days 00:02:33.083356,0 days 00:00:24,0 days 00:04:05.500000,0 days 00:05:42.500000,0 days 00:07:16.750000,0 days 00:13:38
M22,BW2,177.0,197.19209039548022,113.37000637811396,5.0,92.0,202.0,292.0,397.0,177,0 days 00:05:08.305084,0 days 00:02:31.772810,0 days 00:00:20,0 days 00:03:01,0 days 00:04:58,0 days 00:06:46,0 days 00:11:27
M22,F,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:36:35.897500,0 days 00:07:43.512617,0 days 00:20:18,0 days 00:30:28,0 days 00:36:21.500000,0 days 00:42:57.250000,0 days 00:58:17
M22,I,333.0,198.75975975975976,117.50104819810315,1.0,99.0,200.0,304.0,400.0,333,0 days 00:06:00.258258,0 days 00:02:35.275055,0 days 00:00:23,0 days 00:04:08,0 days 00:06:01,0 days 00:07:44,0 days 00:12:59
M22,O,296.0,203.25,116.08205017521597,1.0,110.75,203.5,304.25,400.0,296,0 days 00:06:10.125000,0 days 00:02:47.201800,0 days 00:00:13,0 days 00:04:11,0 days 00:06:04.500000,0 days 00:08:10.750000,0 days 00:15:59
M23,A,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:12:56.095000,0 days 00:03:56.126736,0 days 00:04:04,0 days 00:09:51,0 days 00:12:23.500000,0 days 00:15:37,0 days 00:24:34
M23,AE1,273.0,199.6007326007326,116.95328818425064,1.0,94.0,205.0,297.0,400.0,273,0 days 00:05:53.805860,0 days 00:02:32.082609,0 days 00:00:14,0 days 00:04:00,0 days 00:05:47,0 days 00:07:27,0 days 00:12:42
M23,AE2,315.0,197.4857142857143,116.89456686870136,1.0,95.5,193.0,295.5,400.0,315,0 days 00:05:59.800000,0 days 00:02:26.596334,0 days 00:00:57,0 days 00:04:24,0 days 00:05:51,0 days 00:07:34,0 days 00:14:46
M23,AW1,177.0,204.09604519774012,116.69125364590309,5.0,109.0,196.0,310.0,397.0,177,0 days 00:04:53.062146,0 days 00:02:41.662181,0 days 00:00:29,0 days 00:02:51,0 days 00:04:13,0 days 00:06:26,0 days 00:12:32
M23,AW2,155.0,192.88387096774193,114.35096095194216,5.0,98.0,200.0,292.5,395.0,155,0 days 00:05:13.806451,0 days 00:02:26.068792,0 days 00:01:13,0 days 00:03:36,0 days 00:04:43,0 days 00:06:36.500000,0 days 00:11:44
M23,B,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:17.155000,0 days 00:04:04.478537,0 days 00:04:02,0 days 00:10:20.750000,0 days 00:12:51,0 days 00:15:51,0 days 00:27:20
M23,BE1,174.0,197.32758620689654,117.00275001921536,1.0,91.75,188.0,296.5,399.0,174,0 days 00:05:26.091954,0 days 00:02:45.697902,0 days 00:00:38,0 days 00:03:19.500000,0 days 00:05:09,0 days 00:07:06.750000,0 days 00:13:14
M23,BE2,183.0,185.10382513661202,114.68693716686522,3.0,80.5,188.0,277.0,399.0,183,0 days 00:05:04.087431,0 days 00:02:31.256106,0 days 00:00:07,0 days 00:03:04,0 days 00:05:15,0 days 00:06:32,0 days 00:11:21
M23,BW1,301.0,200.8704318936877,115.11272658925617,1.0,102.0,197.0,301.0,400.0,301,0 days 00:05:42.325581,0 days 00:02:39.312649,0 days 00:00:20,0 days 00:03:47,0 days 00:05:29,0 days 00:07:22,0 days 00:13:10
M23,BW2,155.0,215.9806451612903,118.72414118821737,1.0,120.0,232.0,314.5,400.0,155,0 days 00:04:54.490322,0 days 00:02:40.012433,0 days 00:00:33,0 days 00:02:44.500000,0 days 00:04:36,0 days 00:06:44,0 days 00:11:18
M23,F,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:35:43.917500,0 days 00:07:36.849926,0 days 00:21:03,0 days 00:29:43.750000,0 days 00:35:11,0 days 00:41:41.500000,0 days 00:53:57
M23,I,331.0,202.02719033232628,114.3291467819997,1.0,106.5,202.0,300.5,400.0,331,0 days 00:05:55.767371,0 days 00:02:39.935982,0 days 00:00:32,0 days 00:03:57.500000,0 days 00:05:46,0 days 00:07:43.500000,0 days 00:14:42
M23,O,311.0,198.87459807073955,114.13642246586177,3.0,99.5,197.0,295.5,400.0,311,0 days 00:05:55.331189,0 days 00:02:35.938562,0 days 00:00:54,0 days 00:04:02.500000,0 days 00:05:41,0 days 00:07:50,0 days 00:14:40
M24,A,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:12:59.002500,0 days 00:03:56.108227,0 days 00:04:03,0 days 00:10:18,0 days 00:12:49,0 days 00:15:18,0 days 00:27:10
M24,AE1,267.0,199.39700374531836,112.45149192474726,2.0,103.5,196.0,290.5,400.0,267,0 days 00:06:00.636704,0 days 00:02:40.899723,0 days 00:00:24,0 days 00:03:52,0 days 00:05:49,0 days 00:07:48.500000,0 days 00:14:03
M24,AE2,286.0,199.77272727272728,116.15147743239804,2.0,96.25,202.5,298.75,398.0,286,0 days 00:05:58.520979,0 days 00:02:43.128938,0 days 00:00:27,0 days 00:03:59,0 days 00:05:42.500000,0 days 00:07:42.500000,0 days 00:14:35
M24,AW1,191.0,199.3193717277487,112.55159093838294,1.0,106.5,196.0,294.5,400.0,191,0 days 00:05:23.078534,0 days 00:02:37.419383,0 days 00:00:44,0 days 00:03:18.500000,0 days 00:05:05,0 days 00:07:23,0 days 00:11:52
M24,AW2,168.0,200.45238095238096,116.57537509323939,1.0,101.5,204.5,300.5,400.0,168,0 days 00:05:03.964285,0 days 00:02:27.175356,0 days 00:00:27,0 days 00:03:11,0 days 00:04:51,0 days 00:06:28,0 days 00:12:38
