,,cycle,cycle,cycle,cycle,cycle,cycle,cycle,cycle,dt_bet,dt_bet,dt_bet,dt_bet,dt_bet,dt_bet,dt_bet,dt_bet
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
asset,zone,,,,,,,,,,,,,,,,
M10,F,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:36:16.355000,0 days 00:07:41.569094,0 days 00:20:06,0 days 00:29:37.750000,0 days 00:35:26,0 days 00:42:07.750000,0 days 00:57:24
M10,I,331.0,202.06042296072508,114.14646082914952,3.0,105.0,208.0,298.5,400.0,331,0 days 00:05:42.120845,0 days 00:02:43.599540,0 days 00:00:07,0 days 00:03:46,0 days 00:05:30,0 days 00:07:18,0 days 00:14:34
M10,O,307.0,198.84364820846906,115.74256558112351,1.0,100.5,201.0,297.5,400.0,307,0 days 00:06:02.084690,0 days 00:02:40.377065,0 days 00:00:15,0 days 00:04:04.500000,0 days 00:05:46,0 days 00:07:39.500000,0 days 00:12:58
M11,A,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:23.935000,0 days 00:03:56.345804,0 days 00:04:09,0 days 00:10:23,0 days 00:13:11,0 days 00:16:11,0 days 00:24:48
M11,AE1,294.0,199.37755102040816,117.05882380890681,1.0,94.5,199.5,302.75,400.0,294,0 days 00:06:16.438775,0 days 00:02:36.053290,0 days 00:00:42,0 days 00:04:21.250000,0 days 00:06:02.500000,0 days 00:08:09,0 days 00:12:56
M11,AE2,291.0,201.71134020618555,117.16742739929929,1.0,102.5,199.0,306.5,400.0,291,0 days 00:06:04.154639,0 days 00:02:30.867949,0 days 00:00:31,0 days 00:04:14,0 days 00:05:56,0 days 00:07:45,0 days 00:12:36
M11,AW1,165.0,213.0909090909091,115.00990509738705,4.0,119.0,214.0,308.0,400.0,165,0 days 00:05:17.903030,0 days 00:02:38.045540,0 days 00:00:19,0 days 00:03:17,0 days 00:04:55,0 days 00:07:09,0 days 00:11:20
M11,AW2,178.0,197.32022471910113,111.56252198571718,5.0,99.25,193.5,289.75,399.0,178,0 days 00:04:54.820224,0 days 00:02:29.646858,0 days 00:00:46,0 days 00:02:57.500000,0 days 00:04:24.500000,0 days 00:06:44.750000,0 days 00:10:53
M11,B,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:54.277500,0 days 00:04:13.563229,0 days 00:04:48,0 days 00:10:46,0 days 00:13:46.500000,0 days 00:16:36.250000,0 days 00:26:59
M11,BE1,189.0,199.86243386243387,120.04149156979067,1.0,89.0,209.0,306.0,400.0,189,0 days 00:05:23.121693,0 days 00:02:53.746180,0 days 00:00:14,0 days 00:03:08,0 days 00:04:56,0 days 00:07:29,0 days 00:12:12
M11,BE2,166.0,193.62048192771084,112.88302044692499,2.0,100.5,192.5,287.5,399.0,166,0 days 00:05:25.795180,0 days 00:02:35.868068,0 days 00:00:30,0 days 00:03:30.500000,0 days 00:05:18.500000,0 days 00:07:23.250000,0 days 00:11:45
M11,BW1,305.0,203.17704918032786,116.15017558022308,1.0,102.0,204.0,304.0,399.0,305,0 days 00:05:53.311475,0 days 00:02:36.441760,0 days 00:00:33,0 days 00:04:02,0 days 00:05:33,0 days 00:07:31,0 days 00:14:28
M11,BW2,159.0,197.19496855345912,116.51736861822016,3.0,89.5,199.0,295.0,393.0,159,0 days 00:05:40.597484,0 days 00:02:47.040892,0 days 00:00:55,0 days 00:03:35,0 days 00:05:28,0 days 00:07:51,0 days 00:11:42
M11,F,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:36:52.497500,0 days 00:07:41.612939,0 days 00:20:50,0 days 00:30:09.750000,0 days 00:37:17.500000,0 days 00:43:02.750000,0 days 00:54:50
M11,I,341.0,198.3108504398827,113.71627554179813,1.0,103.0,196.0,294.0,400.0,341,0 days 00:05:48.788856,0 days 00:02:45.551172,0 days 00:00:29,0 days 00:03:56,0 days 00:05:33,0 days 00:07:38,0 days 00:15:33
M11,O,295.0,200.86101694915254,116.30082535628942,1.0,101.5,202.0,303.5,400.0,295,0 days 00:06:15.515254,0 days 00:02:31.215097,0 days 00:01:06,0 days 00:04:24,0 days 00:05:56,0 days 00:07:55.500000,0 days 00:13:57
M12,A,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:20.337500,0 days 00:04:06.855631,0 days 00:04:54,0 days 00:10:14,0 days 00:13:09,0 days 00:15:56.250000,0 days 00:26:20
M12,AE1,275.0,195.68727272727273,113.29747527248249,2.0,100.5,194.0,289.5,400.0,275,0 days 00:05:55.960000,0 days 00:02:39.335396,0 days 00:00:30,0 days 00:03:47,0 days 00:05:59,0 days 00:07:42,0 days 00:14:42
M12,AE2,298.0,203.8221476510067,117.9915190387387,2.0,98.25,204.5,308.5,400.0,298,0 days 00:06:07.281879,0 days 00:02:30.362730,0 days 00:01:04,0 days 00:04:21,0 days 00:05:54.500000,0 days 00:07:43.250000,0 days 00:14:07
M12,AW1,190.0,205.97368421052633,117.54982886749796,1.0,98.25,212.5,308.75,399.0,190,0 days 00:04:51.089473,0 days 00:02:27.370918,0 days 00:00:06,0 days 00:02:46.250000,0 days 00:04:50,0 days 00:06:32,0 days 00:10:35
M12,AW2,183.0,205.11475409836066,114.52987014201533,1.0,104.5,213.0,295.5,398.0,183,0 days 00:05:14.147540,0 days 00:02:33.423621,0 days 00:00:33,0 days 00:03:10.500000,0 days 00:05:01,0 days 00:07:07,0 days 00:11:15
